ID,country2,colldate,year_date
SRR6785194,AZE,2012-2013,2012
SRR6785195,AZE,2012-2013,2012
SRR6785198,AZE,2012-2013,2012
SRR6785199,AZE,2012-2013,2012
SRR6785201,AZE,2012-2013,2012
SRR6785203,AZE,2012-2013,2012
SRR6785206,AZE,2012-2013,2012
SRR6785207,AZE,2012-2013,2012
SRR6785208,AZE,2012-2013,2012
SRR6785210,AZE,2012-2013,2012
SRR6785212,AZE,2012-2013,2012
SRR6785213,AZE,2012-2013,2012
SRR6785214,AZE,2012-2013,2012
SRR6785215,AZE,2012-2013,2012
SRR6785216,AZE,2012-2013,2012
SRR6785217,AZE,2012-2013,2012
SRR6785221,AZE,2012-2013,2012
SRR6785222,AZE,2012-2013,2012
SRR6785223,AZE,2012-2013,2012
SRR6785224,AZE,2012-2013,2012
SRR6785225,AZE,2012-2013,2012
SRR6785226,AZE,2012-2013,2012
SRR6785228,AZE,2012-2013,2012
SRR6785229,AZE,2012-2013,2012
SRR6785232,AZE,2012-2013,2012
SRR6785235,AZE,2012-2013,2012
SRR6785238,AZE,2012-2013,2012
SRR6785242,AZE,2012-2013,2012
SRR6785245,AZE,2012-2013,2012
SRR6785248,AZE,2012-2013,2012
SRR6785249,AZE,2012-2013,2012
SRR6785252,AZE,2012-2013,2012
SRR6785253,AZE,2012-2013,2012
SRR6785255,AZE,2012-2013,2012
SRR6785261,AZE,2012-2013,2012
SRR6785263,AZE,2012-2013,2012
SRR6785264,AZE,2012-2013,2012
SRR6785266,AZE,2012-2013,2012
SRR6785269,AZE,2012-2013,2012
SRR6785270,AZE,2012-2013,2012
SRR6785271,AZE,2012-2013,2012
SRR6785272,AZE,2012-2013,2012
SRR6785275,AZE,2012-2013,2012
SRR6785276,AZE,2012-2013,2012
SRR6785278,AZE,2012-2013,2012
SRR6785279,AZE,2012-2013,2012
SRR6785280,AZE,2012-2013,2012
SRR6785281,AZE,2012-2013,2012
SRR6785282,AZE,2012-2013,2012
SRR6785283,AZE,2012-2013,2012
SRR6785287,AZE,2012-2013,2012
SRR6785290,AZE,2012-2013,2012
SRR6785291,AZE,2012-2013,2012
SRR6785292,AZE,2012-2013,2012
SRR6785294,AZE,2012-2013,2012
SRR6785295,AZE,2012-2013,2012
SRR6785297,AZE,2012-2013,2012
SRR6785298,AZE,2012-2013,2012
SRR6785299,AZE,2012-2013,2012
SRR6785300,AZE,2012-2013,2012
SRR6785302,AZE,2012-2013,2012
SRR6785303,AZE,2012-2013,2012
SRR6785304,AZE,2012-2013,2012
SRR6785308,AZE,2012-2013,2012
SRR6785311,AZE,2012-2013,2012
SRR6785312,AZE,2012-2013,2012
SRR6785313,AZE,2012-2013,2012
SRR6785314,AZE,2012-2013,2012
SRR6785315,AZE,2012-2013,2012
SRR6785316,AZE,2012-2013,2012
SRR6785321,AZE,2012-2013,2012
SRR6785322,AZE,2012-2013,2012
SRR6785323,AZE,2012-2013,2012
SRR6785328,AZE,2012-2013,2012
SRR6785332,AZE,2012-2013,2012
SRR6785333,AZE,2012-2013,2012
SRR6785335,AZE,2012-2013,2012
SRR6785336,AZE,2012-2013,2012
SRR6785337,AZE,2012-2013,2012
SRR6785338,AZE,2012-2013,2012
SRR6785340,AZE,2012-2013,2012
SRR6785341,AZE,2012-2013,2012
SRR6785343,AZE,2012-2013,2012
SRR6785344,AZE,2012-2013,2012
SRR6785347,AZE,2012-2013,2012
SRR6785348,AZE,2012-2013,2012
SRR6785350,AZE,2012-2013,2012
SRR6785353,AZE,2012-2013,2012
SRR6785354,AZE,2012-2013,2012
SRR6785356,AZE,2012-2013,2012
SRR6785358,AZE,2012-2013,2012
SRR6785359,AZE,2012-2013,2012
SRR6785361,AZE,2012-2013,2012
SRR6785364,AZE,2012-2013,2012
SRR6785366,AZE,2012-2013,2012
SRR6785370,AZE,2012-2013,2012
SRR6785372,AZE,2012-2013,2012
SRR6785374,AZE,2012-2013,2012
SRR6785375,AZE,2012-2013,2012
SRR6785376,AZE,2012-2013,2012
SRR6785377,AZE,2012-2013,2012
SRR6785378,AZE,2012-2013,2012
SRR6785380,AZE,2012-2013,2012
SRR6785382,AZE,2012-2013,2012
SRR6785383,AZE,2012-2013,2012
SRR6785385,AZE,2012-2013,2012
SRR6785386,AZE,2012-2013,2012
SRR6785387,AZE,2012-2013,2012
SRR6785388,AZE,2012-2013,2012
SRR6785389,AZE,2012-2013,2012
SRR6785391,AZE,2012-2013,2012
SRR6785394,AZE,2012-2013,2012
SRR6785396,AZE,2012-2013,2012
SRR6785397,AZE,2012-2013,2012
SRR6785398,AZE,2012-2013,2012
SRR6785401,AZE,2012-2013,2012
SRR6785402,AZE,2012-2013,2012
SRR6785403,AZE,2012-2013,2012
SRR6785404,AZE,2012-2013,2012
SRR6785405,AZE,2012-2013,2012
SRR6785406,AZE,2012-2013,2012
SRR6785407,AZE,2012-2013,2012
SRR6785409,AZE,2012-2013,2012
SRR6785416,AZE,2012-2013,2012
SRR6785417,AZE,2012-2013,2012
SRR6785418,AZE,2012-2013,2012
SRR6785420,AZE,2012-2013,2012
SRR6785421,AZE,2012-2013,2012
SRR6785424,AZE,2012-2013,2012
SRR6785425,AZE,2012-2013,2012
SRR6785430,AZE,2012-2013,2012
SRR6785432,AZE,2012-2013,2012
SRR6785433,AZE,2012-2013,2012
SRR6785436,AZE,2012-2013,2012
SRR6785437,AZE,2012-2013,2012
SRR6785438,AZE,2012-2013,2012
SRR6785439,AZE,2012-2013,2012
SRR6785444,AZE,2012-2013,2012
SRR6785445,AZE,2012-2013,2012
SRR6785446,AZE,2012-2013,2012
SRR6785447,AZE,2012-2013,2012
SRR6785448,AZE,2012-2013,2012
SRR6785451,AZE,2012-2013,2012
SRR6785452,AZE,2012-2013,2012
SRR6785454,AZE,2012-2013,2012
SRR6785459,AZE,2012-2013,2012
SRR6785460,AZE,2012-2013,2012
SRR6785461,AZE,2012-2013,2012
SRR6785462,AZE,2012-2013,2012
SRR6785463,AZE,2012-2013,2012
SRR6785469,AZE,2012-2013,2012
SRR6785470,AZE,2012-2013,2012
SRR6785473,AZE,2012-2013,2012
SRR6785474,AZE,2012-2013,2012
SRR6785477,AZE,2012-2013,2012
SRR6785478,AZE,2012-2013,2012
SRR6785479,AZE,2012-2013,2012
SRR6785481,AZE,2012-2013,2012
SRR6785483,AZE,2012-2013,2012
SRR6785485,AZE,2012-2013,2012
SRR6785486,AZE,2012-2013,2012
SRR6785488,AZE,2012-2013,2012
SRR6785489,AZE,2012-2013,2012
SRR6785490,AZE,2012-2013,2012
SRR6785491,AZE,2012-2013,2012
SRR6785492,AZE,2012-2013,2012
SRR6785496,AZE,2012-2013,2012
SRR6785497,AZE,2012-2013,2012
SRR6785499,AZE,2012-2013,2012
SRR6785504,AZE,2012-2013,2012
SRR6785505,AZE,2012-2013,2012
SRR6785506,AZE,2012-2013,2012
SRR6785508,AZE,2012-2013,2012
SRR6785511,AZE,2012-2013,2012
SRR6785512,AZE,2012-2013,2012
SRR6785513,AZE,2012-2013,2012
SRR6785515,AZE,2012-2013,2012
SRR6785516,AZE,2012-2013,2012
SRR6785518,AZE,2012-2013,2012
SRR6785519,AZE,2012-2013,2012
SRR6785521,AZE,2012-2013,2012
SRR6785522,AZE,2012-2013,2012
SRR6785523,AZE,2012-2013,2012
SRR6785525,AZE,2012-2013,2012
SRR6785526,AZE,2012-2013,2012
SRR6785527,AZE,2012-2013,2012
SRR6785529,AZE,2012-2013,2012
SRR6785535,AZE,2012-2013,2012
SRR6785536,AZE,2012-2013,2012
SRR6785537,AZE,2012-2013,2012
SRR6785538,AZE,2012-2013,2012
SRR6785539,AZE,2012-2013,2012
SRR6785540,AZE,2012-2013,2012
SRR6785541,AZE,2012-2013,2012
SRR6785543,AZE,2012-2013,2012
SRR6785544,AZE,2012-2013,2012
SRR6785545,AZE,2012-2013,2012
SRR6785546,AZE,2012-2013,2012
SRR6491199,AZE,2012-2013,2012
SRR6484833,AZE,2012-2013,2012
SRR6484835,AZE,2012-2013,2012
SRR6484836,AZE,2012-2013,2012
SRR6484838,AZE,2012-2013,2012
SRR6484841,AZE,2012-2013,2012
SRR6484844,AZE,2012-2013,2012
SRR6484846,AZE,2012-2013,2012
SRR6484847,AZE,2012-2013,2012
SRR6484851,AZE,2012-2013,2012
SRR6484857,AZE,2012-2013,2012
SRR6484859,AZE,2012-2013,2012
SRR6484863,AZE,2012-2013,2012
SRR6484869,AZE,2012-2013,2012
SRR6484871,AZE,2012-2013,2012
SRR6484872,AZE,2012-2013,2012
SRR6484876,AZE,2012-2013,2012
SRR6484877,AZE,2012-2013,2012
SRR6484881,AZE,2012-2013,2012
SRR6484884,AZE,2012-2013,2012
SRR6484891,AZE,2012-2013,2012
SRR6484893,AZE,2012-2013,2012
SRR6484895,AZE,2012-2013,2012
SRR6484898,AZE,2012-2013,2012
SRR6484900,AZE,2012-2013,2012
SRR6484910,AZE,2012-2013,2012
SRR6484912,AZE,2012-2013,2012
SRR6484921,AZE,2012-2013,2012
SRR6484922,AZE,2012-2013,2012
SRR6484927,AZE,2012-2013,2012
SRR6484929,AZE,2012-2013,2012
SRR6484935,AZE,2012-2013,2012
SRR6484936,AZE,2012-2013,2012
SRR6484939,AZE,2012-2013,2012
SRR6484948,AZE,2012-2013,2012
SRR6484954,AZE,2012-2013,2012
SRR6484956,AZE,2012-2013,2012
SRR6484959,AZE,2012-2013,2012
SRR6484961,AZE,2012-2013,2012
SRR6484963,AZE,2012-2013,2012
SRR6484964,AZE,2012-2013,2012
SRR6484968,AZE,2012-2013,2012
SRR6484973,AZE,2012-2013,2012
SRR6484976,AZE,2012-2013,2012
SRR6484983,AZE,2012-2013,2012
SRR6484985,AZE,2012-2013,2012
SRR6484996,AZE,2012-2013,2012
SRR6484998,AZE,2012-2013,2012
